word/expression,Korean,Vietnamese,example,meanimg-VI,meanimg-KR,Type
Noun,,,,,,
Stack,기술 스택,"Chồng, cụm","To recruit the best fit developer, specify the 
 technology stack of the service on the open 
 position page.","Để tuyển dụng nhà phát triển phù hợp nhất, chỉ định
 công nghệ chồng dịch vụ trên mạng
 Trang vị trí.","가장 적합한 개발자를 찾으려면, 구인 공고 페이지에 
 기술 스택을 명시해주세요.",Noun
Full-Stack,풀스택,Full-Stack,"I've become a full-stack developer due to the 
 lack of developers on the team.","Tôi đã trở thành một nhà phát triển toàn bộ ngăn xếp do
 Thiếu các nhà phát triển trong nhóm.",팀에 개발자가 부족해서 풀스택 개발자가 되었습니다.,Noun
Headless,헤드리스,Không đầu,"A headless browser is a web browser that has 
 no graphical user interface.","Trình duyệt không đầu là trình duyệt web có
 Không có giao diện người dùng đồ họa.","헤드리스 브라우저는 그래픽 유저 인터페이스가 없는 
 웹 브라우저 입니다.",Noun
Variable,변수,Biến,"Declare an integer variable containing the 
 number of participants.","Khai báo một biến số nguyên chứa
 Số lượng người tham gia.",참가자 수를 담는 정수 변수를 선언하세요.,Noun
Constant,상수,hằng số,This is a constant which cannot be reassigned.,Đây là một hằng số không thể được chỉ định lại.,이것은 상수로 다시 할당될 수 없습니다.,Noun
Function,함수,chức năng,The function returns an integer.,Hàm trả về một số nguyên.,이 함수는 정수를 반환합니다.,Noun
Class,클래스,lớp,"The code defining the class is too complicated to 
 understand.","Mã xác định lớp quá phức tạp
 hiểu.",클래스를 정의하는 코드가 이해하기 너무 어렵습니다.,Noun
Type,"타입, 자료형",Loại,"A string is a data type which is made up of 
 ordered sequesnces of characters like ""GeekHaus"".","Chuỗi là một kiểu dữ liệu được tạo thành từ
 Squesnces của các nhân vật như ""Geekhaus"".","문자열은 ""GeekHaus""처럼 순서가 있는 문자의 나열로 구성되는 데이터 타입입니다.",Noun
Array,배열,dãy,"You can store a fixed-size collection of data in 
 an array.","Bạn có thể lưu trữ một bộ sưu tập dữ liệu có kích thước cố định trong
 một mảng.","배열에는 고정된 크기의 데이터 컬렉션을 저장할 수 
 있습니다.",Noun
Debugging,디버깅,gỡ lỗi,"This screen shows system logs that help with 
 debugging.","Màn hình này hiển thị nhật ký hệ thống giúp đỡ với
 gỡ lỗi.",이 스크린은 디버깅을 돕는 시스템 로그를 보여줍니다.,Noun
Legacy System,레거시 시스템,hệ thống kế thừa,"We have to replace the legacy system by July as 
 part of the integration process.","Chúng tôi phải thay thế hệ thống kế thừa vào tháng 7
 Một phần của quá trình tích hợp.","통합 프로세스의 일부로, 레거시 시스템을 7월까지 
 교체해야 합니다.",Noun
Backlog,백로그,tồn đọng,"There are massive backlogs we have to handle 
 by this week.","Có những tồn đọng lớn mà chúng ta phải xử lý
 vào tuần này.",이번 주까지 처리해야 하는 엄청난 백로그가 있습니다.,Noun
Client-Server Architecture,클라이언트-서버 아키텍처,Mô hình khách chủ,"In a typical clinet-server architecture, you can think of the client as a consumer","Trong một kiến ​​trúc máy chủ thông thường, bạn có thể nghĩ về khách hàng như một người tiêu dùng","일반적인 클라이언트-서버 아키텍처에서, 클라이어트는 소비자로 생각할 수 있습니다.",Noun
Module,모듈,Module,"This module is not compatible with the existing 
 program.","Mô -đun này không tương thích với hiện tại
 chương trình.",이 모듈은 현재 프로그램과 호환되지 않습니다.,Noun
Sandbox,샌드박스,Hộp cát,"We need additional sandbox testing before the official
 launch.","Chúng tôi cần kiểm tra hộp cát bổ sung trước khi quan chức
 phóng.",공식 런친 전에 추가적인 샌드박스 테스팅이 필요합니다.,Noun
Open source,오픈 소스,Mã nguồn mở,"You can save a lot of time by leveraging open source
 projects. We don't have to develop everythinh from scratch.","Bạn có thể tiết kiệm rất nhiều thời gian bằng cách tận dụng nguồn mở
 dự án. Chúng ta không phải phát triển mọi thứ từ đầu.","오픈소스를 활용하면 많은 시간을 절약할 수 있습니다. 
 모든 것을 처음부터 개발하지 않아도 됩니다.",Noun
Runtime,런타임,Thời gian chạy,This module works with a specific version and runtime.,Mô -đun này hoạt động với một phiên bản cụ thể và thời gian chạy.,이 모듈은 특정 버전과 런타임에서만 작동합니다.,Noun
Git,깃,hệ thống quản lý các phiên bản dưới dạng phân tán,Gihub is one of the most popular git hosting services.,Gihub là một trong những dịch vụ lưu trữ Git phổ biến nhất.,깃허브는 가장 인기 있는 깃 호스팅 서비스 중 하나입니다.,Noun
Refactoring,리팩터링,cải tiến mã nguồn,The refactoring will result in faster performance.,Việc tái cấu trúc sẽ dẫn đến hiệu suất nhanh hơn.,리팩토링하면 성능이 더 빨라집니다.,Noun
PR (Pull Request),,PR (Pull Request),"I submitted a PR to fix the critical bug. Please let me 
 know when you've merged it.","Tôi đã gửi PR để sửa lỗi quan trọng. Hãy để tôi
 Biết khi nào bạn đã hợp nhất nó.",치명적인 버그를 수정하기 위한 풀 리퀘스트를 제출했습니다. 풀 리퀘스트가 병합되면 알려주세요.,Noun
HTTP (HyperText Transfer Protocol),,HTTP,"HTTPS is a combination of HTTP with SSL which uses
 encrypted HTTP data.","HTTPS là sự kết hợp của HTTP với SSL sử dụng
 mã hóa dữ liệu HTTP.","HTTPS는 HTTP와 SSL이 결합되어, 암호화된 HTTP 
 데이터를 사용합니다.",Noun
HTML (HyperText Markup Language),,HTML,"Web browsers interpret HTML and display the 
 resulting web pages.","Trình duyệt web diễn giải HTML và hiển thị
 kết quả là các trang web.","웹 브라우저는 HTML을 해석하고 결과 웹 페이지를 
 표시합니다.",Noun
API (Application Programming Interface),,Giao diện lập trình ứng dụng,"The API access for developers will be shut down in 
 30 days.","Truy cập API cho các nhà phát triển sẽ bị tắt
 30 ngày.",개발자를 위한 API 접근이 30일 후 종료될 것입니다.,Noun
REST (Representational State Transfer),,REST,"You can use the REST API to monitor the server 
 through HTTP requests.","Bạn có thể sử dụng API REST để theo dõi máy chủ
 thông qua các yêu cầu HTTP.","REST API를 사용하면 HTTP 요청으로 서버를 모니터링할 
 수 있습니다.",Noun
