word/expression,Korean,Vietnamese,example,meanimg-VI,meanimg-KR,Type
Noun,,,,,,
User Interface (UI),유저 인터페이스,Giao diện người dùng,The user interface of the app is too complicated,Giao diện người dùng của ứng dụng quá phức tạp,앱의 유저 인터페이스가 너무 복잡합니다.,Noun
Front-End,프론트엔드,Front-End,The front-end developer is fixing miscellaneous bugs.,Nhà phát triển Front-end đang sửa lỗi linh tinh.,프론트엔드 개발자가 자잘한 버그를 고치고 있습니다.,Noun
Back -End,백엔드,Back -End,"Back-End, which is also called server-side, is like the brain of web services.","Back-end, còn được gọi là phía máy chủ, giống như bộ não của các dịch vụ web.","서버 사이드라고도 불리는 백엔드는 웹 서비스의 
 뇌와 같습니다.",Noun
DevOps,데브옵스,DevOps,"DevOps engineers need to ensure that the
 software will work across a variety of platforms.","Các kỹ sư DevOps cần đảm bảo rằng
 Phần mềm sẽ hoạt động trên một loạt các nền tảng.",데브옵스 엔지니어는 소프트웨어가 다양한 플랫폼에서 작동하도록 해야 합니다.,Noun
Backlog,백로그,tồn đọng,"There are massive backlogs we have to handle 
 by this week.","Có những tồn đọng lớn mà chúng ta phải xử lý
 vào tuần này.",이번 주까지 처리해야 하는 엄청난 백로그가 있습니다.,Noun
Agile Software Development,애자일 소프트웨어 개발,phát triển phần mềm linh hoạt,"Agile Software Development refers to a software 
 development methodology based on iterative development.","Phát triển phần mềm Agile đề cập đến một phần mềm
 Phương pháp phát triển dựa trên sự phát triển lặp.","애자일 소프트웨어 개발은 반복적인 개발에 기반한 
 소프트웨어 개발 방법론을 의미합니다.",Noun
Sprint,스프린트,chạy nước rút,"The team is shipping more predictable and 
 consistent products after implementing the sprints.","Nhóm đang vận chuyển nhiều dự đoán hơn và
 Sản phẩm nhất quán sau khi thực hiện chạy nước rút.","팀은 스프린트를 도입한 후 더 예측 가능하고 
 일관된 프로덕트를 제공하고 있습니다.",Noun
Build,빌드,kiến trúc,We've found a lot of bugs in this build.,Chúng tôi đã tìm thấy rất nhiều lỗi trong bản dựng này.,이 빌드에서 많은 버그를 발견했습니다.,Noun
Library,라이브러리,Thư viện,It is a deprecated library,Nó là một thư viện không dùng nữa,더 이상 사용을 권장하지 않는 라이브러리입니다.,Noun
MVP (Minimum Viable Product),,sản phẩm khả thi tối thiểu,Build an MVP fast and get your idea reviewed.,Xây dựng MVP nhanh và nhận được ý tưởng của bạn được xem xét.,"MVP를 빠르게 만들고, 아이디어를 검증 받으세요.",Noun
SaaS (Software as a Service),,Phần mềm dạng dịch vụ,The number of SaaS startup is skyrocketing nowadays.,Số lượng khởi động SaaS ngày nay tăng vọt.,요즘 SaaS 스타트업 수가 급증하고 있습니다.,Noun
UX (User Experience),,trải nghiệm người dùng,UX plays a key role in attracting users.,UX đóng một vai trò quan trọng trong việc thu hút người dùng.,"사용자 경험은 더 많은 유저를 끌어모으기 위한 핵심적인
  역할을 합니다.",Noun
Google,"(회사, 기관, 단체)",làm việc tại google,I have worked at Google since 2018.,Tôi đã làm việc tại Google từ năm 2018.,저는 2018년부터 구글에서 일해 왔습니다.,Noun
,,,,,,
Verb,,,,,,
Look over,살펴보다,Xem xét,Let me look over the pull request.,Hãy để tôi xem qua yêu cầu kéo.,풀 리퀘스트를 살펴볼게,Verb
Go over,자세히 보다,kiểm tra,I went over the code thoroughly.,Tôi đã vượt qua mã kỹ lưỡng.,코드를 꼼꼼히 확인했습니다.,Verb
Ask for,"요청하다, 찾다",Đề nghị,Ask for the manager for confirmation.,Yêu cầu người quản lý để xác nhận.,확인 받으려면 매니저를 찾아주세요,Verb
Back up,"백업하다, 뒷받침하다, 지지하다",Sao lưu,Did you back up your password?,Bạn đã sao lưu mật khẩu của bạn?,비밀번호를 백업하셨나요?,Verb
Hook up,선을 연결하다,Nối vào,How should I hook up this internet cable?,Làm thế nào tôi nên kết nối cáp internet này?,이 인터넷 케이블을 어떻게 연결해야 할까여?,Verb
Boot up,"부팅하다, 시작하다",Khởi động,My laptop is booting up.,Máy tính xách tay của tôi đang khởi động.,제 랩탑이 부팅되고 있습니다.,Verb
Set up,"준비하다, 설치하다, 셋팅하다",,It takes a long time to set up this program.,Phải mất một thời gian dài để thiết lập chương trình này.,이 프로그램은 설치하는 데 오랜 시간이 걸립니다.,Verb
Pull down,(메뉴나 대화상자에서) 선택하다,kéo xuống,"Right-click the file and pull down to ""Save as.."".","Nhấp chuột phải vào tệp và kéo xuống ""Lưu dưới dạng .."".","파일을 오른쪽 클릭하고 ""다른 이름으로 저장.."".을 
 선택하세요.",Verb
Click on,클릭하다,Kích vào,Click on the start button.,Nhấp vào nút Bắt đầu.,시작 버튼을 클릭하세요,Verb
Scroll up/ down,스크롤을 올리다/ 내리다,Cuộn lên/xuống,"It takes too long to read, I have to scroll down 
 a lot to read everything.","Phải mất quá nhiều thời gian để đọc, tôi phải cuộn xuống
 Rất nhiều thứ để đọc mọi thứ.","읽기에 너무 깁니다. 모두 읽으려면 스크롤을 많이 
 내려야 합니다.",Verb
Sign up,가입하다,Đăng ký,Sign up to read more,Đăng ký để đọc thêm,더 읽으려면 회원가입하세요.,Verb
Sign in,로그인하다,Đăng nhập,"If you have an account, please sign in.","Nếu bạn có một tài khoản, vui lòng đăng nhập.","계정이 있다면, 로그인하세요.",Verb
